FISH_KEY,DATE_CATCH,Sesn,Year,LOCATION_ID,ACCESS_CODE,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,Age,MAT_CODE
468LA_1528_F081_F,27-Oct-87,Fa,1987,468,F081,1492,,515,2,,2
468LA_1529_F081_F,27-Oct-87,Fa,1987,468,F081,346,,325,1,,1
468LA_153_F081_F,08-Oct-81,Fa,1981,468,F081,881,472,429,1,9,2
468LA_1530_F081_F,27-Oct-87,Fa,1987,468,F081,528,,381,2,,2
468LA_1531_F081_F,27-Oct-87,Fa,1987,468,F081,658,,396,2,,2
468LA_1532_F081_F,27-Oct-87,Fa,1987,468,F081,1757,,515,2,,2
468LA_1533_F081_F,01-May-88,aSP,1988,468,F081,170,,255,1,,2
468LA_1534_F081_F,01-May-88,aSP,1988,468,F081,260,,292,1,,2
468LA_1535_F081_F,01-May-88,aSP,1988,468,F081,211,,268,1,,2
468LA_1536_F081_F,01-May-88,aSP,1988,468,F081,188,,255,1,,2
468LA_1537_F081_F,01-May-88,aSP,1988,468,F081,778,,403,1,,2
468LA_1538_F081_F,18-May-88,aSP,1988,468,F081,820,,423,2,,2
468LA_1539_F081_F,18-May-88,aSP,1988,468,F081,632,,380,1,,1
468LA_154_F081_F,08-Oct-81,Fa,1981,468,F081,538,433,386,1,,2
468LA_1540_F081_F,18-May-88,aSP,1988,468,F081,373,,336,2,,2
468LA_1541_F081_F,18-May-88,aSP,1988,468,F081,271,,312,1,,1
468LA_1542_F081_F,18-May-88,aSP,1988,468,F081,303,,319,1,,1
468LA_1543_F081_F,18-May-88,aSP,1988,468,F081,360,,332,1,,1
468LA_1544_F081_F,18-May-88,aSP,1988,468,F081,954,,438,1,,2
468LA_1545_F081_F,18-May-88,aSP,1988,468,F081,678,,395,2,,2
