FISH_KEY,LOCATION,YEAR,DATE_CATCH,capture_recapture,DATE_CATCH_2,taxon,FISH_NUM,fish_catch_method,ORIG_NUM,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,AGE,DEAD,COMMENTS
373LA_159_F081_F,373,1989,10/13/1989,F,,F081,159,2,8,702,443,397,1,9,,
373LA_142_F081_F,373,1989,10/6/1989,F,,F081,142,2,5,291,315,286,1,2,Y,+
373LA_73_F081_R,373,1989,10/13/1989,R,,F081,73,2,25,950,469,425,,10,,#35;age inferred
373LA_140_F081_F,373,1989,10/6/1989,F,,F081,140,2,2,890,458,413,1,9,,
373LA_74_F081_R,373,1989,10/13/1989,R,,F081,74,2,26,945,471,423,1,12,,#77;age inferred
373LA_72_F081_R,373,1989,10/13/1989,R,,F081,72,2,21,1610,567,517,,22,,#7;age inferred
373LA_52_F081_R,373,1989,10/11/1989,R,,F081,52,2,8,1299,535,484,1,11,,#82;age inferred
373LA_51_F081_R,373,1989,10/6/1989,R,,F081,51,2,3,1048,480,435,1,12,,#55;age inferred
373LA_54_F081_R,373,1989,10/11/1989,R,,F081,54,2,12,948,458,425,1,13,,
373LA_139_F081_F,373,1989,10/6/1989,F,,F081,139,2,1,935,468,420,1,8,,
373LA_55_F081_R,373,1989,10/11/1989,R,,F081,55,2,14,1065,493,447,1,8,,#58;age inferred
373LA_98_F081_R,373,1990,10/16/1990,R,,F081,98,2,13,1164,506,459,1,14,,
373LA_93_F081_R,373,1990,10/16/1990,R,,F081,93,2,5,968,490,449,1,11,,
373LA_81_F081_R,373,1990,10/11/1990,R,,F081,81,2,7,1390,542,494,1,,,
373LA_97_F081_R,373,1990,10/16/1990,R,,F081,97,2,12,822,457,416,1,10,,
373LA_182_F081_F,373,1990,10/16/1990,F,,F081,182,2,11,879,457,410,2,10,,
373LA_96_F081_R,373,1990,10/16/1990,R,,F081,96,2,10,1060,502,456,1,10,,#76;age inferred
373LA_82_F081_R,373,1990,10/11/1990,R,,F081,82,2,8,930,471,423,1,,,
373LA_83_F081_R,373,1990,10/11/1990,R,,F081,83,2,9,910,471,430,1,,,
373LA_95_F081_R,373,1990,10/16/1990,R,,F081,95,2,9,831,476,427,1,16,,#79;age inferred
373LA_167_F081_F,373,1990,10/11/1990,F,,F081,167,2,10,810,450,412,1,9,,
373LA_94_F081_R,373,1990,10/16/1990,R,,F081,94,2,8,1021,482,438,1,11,,#56;age inferred
373LA_88_F081_R,373,1990,10/13/1990,R,,F081,88,2,10,978,492,445,1,13,,#166;age inferred
373LA_184_F081_F,373,1990,10/16/1990,F,,F081,184,2,16,63,187,171,,1,Y,+
373LA_92_F081_R,373,1990,10/16/1990,R,,F081,92,2,3,1185,485,439,2,15,,#120;age inferred
373LA_91_F081_R,373,1990,10/16/1990,R,,F081,91,2,1,1030,484,441,1,13,,#55;age inferred
373LA_80_F081_R,373,1990,10/11/1990,R,,F081,80,2,6,1150,513,472,1,,,
373LA_90_F081_R,373,1990,10/13/1990,R,,F081,90,2,15,952,483,438,1,12,,#107;age inferred
373LA_89_F081_R,373,1990,10/13/1990,R,,F081,89,2,12,1258,537,485,,20,,#85;age inferred
373LA_183_F081_F,373,1990,10/16/1990,F,,F081,183,2,15,859,460,415,,13,,
373LA_175_F081_F,373,1990,10/13/1990,F,,F081,175,2,13,879,464,416,1,8,,
